Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
Oriflame India,4.1,274,Beauty & Personal Care,New Delhi +24 other locations,"Work Life Balance, Company Culture, Work Satisfaction",274,828,18,--,43,--
Indo Count Industries,3.5,274,Fashion & Textile,Mumbai +21 other locations,"Promotions, Work Satisfaction, Company Culture",274,1.3k,12,38,17,--
Enzene Biosciences,3.9,274,Biotechnology,Pune +9 other locations,"Company Culture, Work Life Balance, Skill Development",274,1.4k,23,5,17,19
Synergy Maritime,4.0,274,Ports & Shipping,Chennai +14 other locations,"Company Culture, Job Security, Work Life Balance",274,1.4k,24,17,11,6
Noida Power Company,4.3,274,Power,Greater Noida +12 other locations,"Job Security, Company Culture, Work Life Balance",274,1.2k,26,--,23,1
Siddha Group,3.9,274,Real Estate,Kolkata +9 other locations,Promotions,274,924,24,20,13,--
Indian Molasses Company,3.7,274,Ports & Shipping,Chennai +37 other locations,Job Security,274,1.4k,25,29,24,--
Sgs Tekniks Manufacturing,4.0,275,Electronics Manufacturing,Gurugram +12 other locations,"Job Security, Skill Development, Company Culture",275,1k,19,11,29,--
Yatharth Hospital,3.9,274,Healthcare,Noida +10 other locations,"Work Life Balance, Salary",274,1k,16,9,8,--
Vayam Info Solutions,4.0,274,Recruitment,New Delhi +45 other locations,Work Life Balance,274,852,17,--,21,--
Big C,3.9,273,Retail,Hyderabad +54 other locations,"Company Culture, Work Life Balance, Skill Development",273,684,18,15,23,3
Don Bosco School,3.4,273,Education & Training,Mumbai +65 other locations,"Promotions, Job Security, Salary",273,580,18,--,14,--
Brink's,4.1,273,Logistics,Mumbai +48 other locations,"Work Life Balance, Company Culture, Job Security",273,690,10,--,28,--
MAN Truck & Bus,2.5,273,Automobile,Pune +19 other locations,"Promotions, Skill Development, Work Satisfaction",273,1k,17,42,23,--
Schneider Electric Infrastructure,4.2,273,Electrical Equipment,Vadodara +24 other locations,"Company Culture, Work Life Balance, Skill Development",273,1.3k,7,--,28,--
Hidden Brains InfoTech,3.6,273,IT Services & Consulting,Ahmedabad +7 other locations,Skill Development,273,872,27,9,45,1
BARC,4.4,273,Defence & Aerospace,Mumbai +22 other locations,"Work Life Balance, Company Culture, Work Satisfaction",273,1k,33,--,23,--
Wishfin,3.3,273,Financial Services,Noida +14 other locations,"Promotions, Job Security, Work Satisfaction",273,1.1k,11,7,18,26
Alchem International,3.7,273,Pharma,Faridabad +24 other locations,Salary,273,969,17,2,18,--
Any Brand,4.2,273,Fashion & Textile,New Delhi +61 other locations,"Company Culture, Work Satisfaction, Skill Development",273,2.2k,120,--,29,--
indiagold,4.5,273,FinTech,Gurugram +21 other locations,"Company Culture, Work Life Balance, Work Satisfaction",273,552,45,15,9,6
StudyIn,4.0,273,EdTech,New Delhi +23 other locations,"Work Life Balance, Company Culture",273,719,41,20,5,41
indiagold,4.5,273,FinTech,Gurugram +21 other locations,"Company Culture, Work Life Balance, Work Satisfaction",273,552,45,15,9,6
Mitsuba Sical,3.9,273,Auto Components,Gurugram +16 other locations,"Company Culture, Salary",273,902,20,2,32,--
MITA,3.9,273,Industrial Machinery,Ghaziabad +11 other locations,"Salary, Skill Development",273,901,24,--,18,--
Technique Control Facility Management,3.7,273,Facility Management Services,Bengaluru +21 other locations,"Promotions, Job Security",273,1k,17,2,14,2
Niine,3.7,273,Beauty & Personal Care,Gorakhpur +67 other locations,Salary,273,768,16,2,17,--
greytHR,3.6,272,Software Product,Bengaluru +15 other locations,"Promotions, Job Security, Salary",272,1.2k,38,1,14,12
Uniqlo,2.8,272,Fashion & Textile,New Delhi +14 other locations,"Promotions, Work Life Balance, Work Satisfaction",272,751,30,3,19,1
ICICI Foundation for Inclusive Growth,3.6,272,Non-Profit,Mumbai +66 other locations,"Promotions, Job Security, Company Culture",272,645,18,--,26,1
Shriram Group,4.0,272,Financial Services,Chennai +115 other locations,Promotions,272,1.4k,11,--,20,--
IPROCESS BUSINESS SOLUTIONS,3.8,273,EdTech,Mumbai +105 other locations,"Company Culture, Work Life Balance",273,670,14,--,6,--
Goldstone Cements,3.3,272,Building Material,Guwahati +23 other locations,"Promotions, Company Culture, Work Satisfaction",272,1.1k,22,--,17,3
NEC Software Solutions,3.9,272,IT Services & Consulting,Mumbai +6 other locations,"Work Life Balance, Company Culture",272,2k,24,39,12,--
Normet,3.9,272,Industrial Machinery,Jaipur +20 other locations,"Work Life Balance, Job Security, Salary",272,1.1k,18,8,33,1
Sunteck Realty,3.3,272,Real Estate,Mumbai +9 other locations,"Promotions, Skill Development, Company Culture",272,1.5k,23,8,10,--
Bacardi,3.8,272,Beverage,Gurugram +58 other locations,Salary,272,1k,20,--,26,--
Terex,3.9,272,Industrial Machinery,Bengaluru +20 other locations,"Work Life Balance, Company Culture",272,1.5k,12,--,28,2
P&O Cruises,3.6,272,Travel & Tourism,Mumbai +19 other locations,Job Security,272,343,11,--,36,--
Adonmo,4.4,272,Marketing & Advertising,Hyderabad +21 other locations,"Company Culture, Work Life Balance, Work Satisfaction",272,584,28,--,3,--
Yakult Danone India,3.8,272,Food Processing,New Delhi +24 other locations,"Job Security, Work Life Balance",272,784,13,15,31,--
Sunteck Realty,3.3,272,Real Estate,Mumbai +9 other locations,"Promotions, Skill Development, Company Culture",272,1.5k,23,8,10,--
Normet,3.9,272,Industrial Machinery,Jaipur +20 other locations,"Work Life Balance, Job Security, Salary",272,1.1k,18,8,33,1
Goldstone Cements,3.3,272,Building Material,Guwahati +23 other locations,"Promotions, Company Culture, Work Satisfaction",272,1.1k,22,--,17,3
Sumadhura Infracon,4.0,273,Real Estate,Bengaluru +7 other locations,"Job Security, Salary, Company Culture",273,1.3k,21,35,13,--
Profectus Capital,4.2,272,NBFC,Mumbai +35 other locations,"Work Life Balance, Company Culture, Salary",272,1k,18,--,8,1
Cargo Service Center India,3.7,271,Logistics,New Delhi +12 other locations,"Promotions, Company Culture",271,814,14,2,27,2
Applus IDIADA,4.0,271,Auto Components,Pune +6 other locations,"Company Culture, Work Life Balance, Work Satisfaction",271,686,43,8,20,3
Arrow,4.5,271,Fashion & Textile,Bengaluru +21 other locations,"Job Security, Company Culture, Work Life Balance",271,207,14,--,6,--
Rays Power Infra,4.1,271,Power,Jaipur +32 other locations,"Work Life Balance, Work Satisfaction, Salary",271,722,28,19,19,7
Apex CoVantage,3.1,271,IT Services & Consulting,Hyderabad +12 other locations,"Promotions, Salary, Work Satisfaction",271,1.3k,12,26,15,1
Intech Organics,3.1,271,Agro Chemicals,Gurugram +19 other locations,"Job Security, Promotions, Company Culture",271,1.1k,31,3,11,8
UBI Services,3.7,271,Banking,Hyderabad +92 other locations,Work Life Balance,271,709,12,10,2,--
Shakambhari Ispat & Power,3.7,271,Power,Kolkata +17 other locations,"Promotions, Salary, Company Culture",271,1.1k,24,2,7,--
East India Udyog,3.9,271,Electrical Equipment,Noida +38 other locations,"Work Life Balance, Company Culture, Work Satisfaction",271,864,17,5,26,--
Enpro Industries,4.3,272,Industrial Machinery,Pune +2 other locations,"Company Culture, Job Security, Work Life Balance",272,1.1k,26,18,9,5
Stellar Information Technology,3.6,271,Software Product,Gurugram +13 other locations,Work Life Balance,271,1.2k,26,21,22,40
Flipspaces,4.0,271,Architecture & Interior Design,Mumbai +12 other locations,"Company Culture, Work Life Balance, Work Satisfaction",271,936,18,28,15,1
Mouser Electronics,3.4,272,Semiconductors,Bengaluru +3 other locations,"Promotions, Skill Development, Work Satisfaction",272,1.9k,38,48,24,102
Cogito Tech,2.5,271,IT Services & Consulting,Noida +4 other locations,"Promotions, Company Culture, Job Security",271,749,32,--,7,1
Protean eGov Technologies,3.5,272,IT Services & Consulting,Mumbai +14 other locations,"Promotions, Skill Development, Company Culture",272,1.8k,16,19,3,--
Manipal University,4.0,270,Education & Training,Jaipur +20 other locations,"Work Life Balance, Job Security, Company Culture",270,1.2k,34,11,19,--
Hero Electric,4.1,270,Automobile,Ludhiana +39 other locations,"Company Culture, Work Life Balance, Job Security",270,1.1k,18,--,20,--
L&T Realty,3.7,271,Real Estate,Mumbai +10 other locations,Job Security,271,1.1k,14,--,15,--
Creamy foods,3.7,271,Food Processing,Bulandshahr +46 other locations,"Promotions, Job Security, Company Culture",271,914,27,9,13,3
British Airways,2.9,270,Aviation,New Delhi +13 other locations,"Work Satisfaction, Company Culture, Work Life Balance",270,1.3k,32,--,26,3
Electronic Arts,3.9,270,Gaming,Hyderabad +7 other locations,"Work Life Balance, Company Culture, Work Satisfaction",270,2.4k,30,30,9,2
Century Enka,4.1,270,Fashion & Textile,Pune +13 other locations,"Job Security, Skill Development, Company Culture",270,935,16,26,21,--
Valmet,4.0,270,Oil & Gas,Pune +14 other locations,"Work Life Balance, Company Culture",270,1.3k,16,29,23,3
Kanwar Enterprises,3.4,270,Engineering & Construction,Noida +38 other locations,"Promotions, Salary, Company Culture",270,986,18,3,23,--
Utkarsh Classes,4.1,270,EdTech,Jodhpur +7 other locations,"Company Culture, Work Life Balance, Skill Development",270,437,13,--,8,8
Eastern Condiments,3.8,269,FMCG,Kochi +55 other locations,Promotions,269,759,15,--,22,--
Fashion TV,3.0,269,Retail,Mumbai +13 other locations,"Job Security, Company Culture, Work Life Balance",269,461,27,21,8,7
Nalco,4.1,269,Metals & Mining,Bhubaneswar +16 other locations,"Job Security, Work Life Balance, Salary",269,803,27,9,18,9
Jspiders,3.7,269,Education & Training,Bengaluru +18 other locations,Skill Development,269,626,21,--,4,--
Sundaram Business Services,3.7,269,BPO,Chennai +8 other locations,"Job Security, Work Life Balance, Work Satisfaction",269,1.1k,14,1,26,--
Shivalaya Construction,4.3,270,Engineering & Construction,New Delhi +37 other locations,"Salary, Work Life Balance, Work Satisfaction",270,948,12,3,14,5
Gallantt Ispat,3.8,269,Iron & Steel,Gorakhpur +24 other locations,Work Life Balance,269,758,18,--,10,7
Sonalika Group of Companies,3.8,269,Automobile,Hoshiarpur +43 other locations,"Company Culture, Work Satisfaction, Promotions",269,1.3k,23,838,30,8
STT Global Data Centres India,3.9,270,IT Services & Consulting,Mumbai +18 other locations,"Company Culture, Job Security, Work Life Balance",270,1.1k,16,1,17,--
Allengers Medical Systems,3.6,269,Medical Equipment,Chandigarh +41 other locations,"Promotions, Company Culture, Work Satisfaction",269,1.2k,16,49,23,6
Armstrong Robotics & Technologies Private Limited,3.9,269,Industrial Automation,Nashik +13 other locations,"Skill Development, Company Culture",269,1.1k,34,7,13,--
Terralogic Software Solutions,2.8,269,IT Services & Consulting,Bengaluru +10 other locations,"Salary, Company Culture, Work Satisfaction",269,2k,34,93,12,--
Sakra World Hospital,4.1,269,Healthcare,Bengaluru +10 other locations,"Company Culture, Job Security, Skill Development",269,912,12,28,33,--
Accurex Biomedical,4.4,269,Medical Equipment,Mumbai +49 other locations,"Skill Development, Company Culture, Work Satisfaction",269,272,75,--,13,39
Tata Autocomp Gotion Green Energy Solutions,,,Auto Components,Pune +9 other locations,"Job Security, Skill Development",--,--,--,--,--,--
Central Institute of Mining and Fuel Research,3.9,268,Education & Training,Dhanbad +19 other locations,"Job Security, Promotions, Salary",268,648,6,--,23,--
Dnata,3.2,268,Aviation,Bengaluru +20 other locations,"Promotions, Company Culture, Work Life Balance",268,930,21,9,29,1
Medgenome Labs,3.8,268,Biotechnology,Bengaluru +21 other locations,"Job Security, Skill Development",268,1.1k,24,--,17,--
Asian Heart Institute,4.1,268,Healthcare,Mumbai +6 other locations,"Skill Development, Salary, Company Culture",268,449,35,39,10,24
Strada,3.5,268,Financial Services,Hyderabad +26 other locations,Job Security,268,3.2k,24,18,25,2
Reliance resQ,4.0,268,Other,Mumbai +82 other locations,"Skill Development, Company Culture, Work Life Balance",268,611,13,--,18,--
Nandan Petrochem,3.7,268,Petrochemicals,Mumbai +33 other locations,Promotions,268,1.1k,25,28,12,1
Sentiss Pharma,3.6,268,Pharma,Gurugram +27 other locations,"Job Security, Promotions, Company Culture",268,1.1k,8,12,35,--
Apna,3.3,268,Recruitment,Bengaluru +21 other locations,"Job Security, Promotions, Work Satisfaction",268,1.3k,41,--,7,--
Essel Mining & Industries,4.3,268,Metals & Mining,Kolkata +23 other locations,"Company Culture, Job Security, Work Life Balance",268,715,22,--,16,3
Bhilai Engineering Corporation,3.6,268,Industrial Machinery,Bhilai Nagar +21 other locations,"Promotions, Salary, Job Security",268,1.1k,12,2,26,4
Dbs Mintek,3.3,268,Financial Services,Pune +20 other locations,"Promotions, Work Satisfaction, Salary",268,1.4k,21,3,15,--
Vistra Corporate Services,3.5,269,Power,Mumbai +12 other locations,"Promotions, Salary, Work Satisfaction",269,1.4k,23,13,17,--
Toshiba Software India,3.4,268,IT Services & Consulting,Bengaluru +5 other locations,Job Security,268,1.7k,23,2,25,--
Rakon,3.7,268,Electronics Manufacturing,Bengaluru +4 other locations,"Job Security, Company Culture, Work Life Balance",268,1.1k,14,--,17,--
GyanSys Inc,3.1,268,IT Services & Consulting,Bengaluru +12 other locations,"Company Culture, Work Satisfaction, Job Security",268,2.4k,26,60,12,12
Amber,4.0,268,Internet,Pune +9 other locations,"Company Culture, Work Life Balance, Work Satisfaction",268,703,41,6,4,71
Expertise Contracting Company,3.5,267,Industrial Machinery,Al Jubail +15 other locations,"Promotions, Salary, Company Culture",267,899,24,--,15,5
Sahajanand Medical Technologies,3.5,267,Medical Equipment,Surat +37 other locations,"Promotions, Skill Development, Salary",267,1.3k,13,5,21,--
RentoMojo,3.6,267,Internet,Bengaluru +19 other locations,"Promotions, Company Culture, Work Satisfaction",267,1.1k,12,65,10,10
Numerator,3.9,267,Marketing & Advertising,Vadodara +2 other locations,"Work Life Balance, Company Culture",267,1.4k,46,175,16,8
Belstar Investment and Finance,4.0,267,Investment Banking / Venture Capital / Private Equity,Chennai +106 other locations,"Company Culture, Work Life Balance, Job Security",267,743,9,1,18,3
Vantive,4.5,267,Healthcare,Bengaluru +7 other locations,"Company Culture, Work Life Balance, Work Satisfaction",267,323,94,13,13,--
Anthology,3.4,266,EdTech,Bengaluru +7 other locations,"Promotions, Job Security, Skill Development",266,2.3k,26,--,12,--
PG Electroplast,4.0,266,Consumer Electronics & Appliances,Noida +23 other locations,"Skill Development, Salary",266,1.1k,23,1,11,--
Piramal Realty,4.2,266,Real Estate,Mumbai +9 other locations,"Salary, Company Culture, Work Life Balance",266,1.2k,14,--,10,--
Karnataka Bank,3.7,266,Banking,Bengaluru +68 other locations,"Job Security, Salary",266,1.1k,17,--,14,2
Shivani Locks,3.7,266,Industrial Machinery,Faridabad +11 other locations,"Promotions, Salary, Company Culture",266,1.1k,13,--,16,--
OmniActive Health Technologies,3.4,266,Fitness & Wellness,Pune +13 other locations,"Promotions, Company Culture, Work Satisfaction",266,1.2k,18,7,24,--
Caplin Point Laboratories,3.3,266,Pharma,Chennai +7 other locations,"Job Security, Company Culture, Work Life Balance",266,1.3k,21,13,14,--
Etisalat,3.2,266,Telecom,Dubai +15 other locations,"Promotions, Salary, Company Culture",266,1.2k,17,--,30,--
Winjit Technologies,3.6,266,IT Services & Consulting,Nashik +12 other locations,"Promotions, Salary, Work Satisfaction",266,2k,45,12,15,--
Vesuvius,3.7,266,Industrial Machinery,Visakhapatnam +24 other locations,Salary,266,1.1k,15,3,28,--
Gujarat Gas,3.8,266,Oil & Gas,Ahmedabad +46 other locations,"Work Life Balance, Job Security",266,918,17,3,30,--
Tata Strive Skill Development Centre,3.9,266,Education & Training,Mumbai +48 other locations,"Job Security, Skill Development",266,625,32,1,25,3
Modi Mundi Pharma,3.8,266,Pharma,New Delhi +44 other locations,Work Life Balance,266,547,19,14,31,--
Madhu Jayanti International,3.5,266,FMCG,Kolkata +43 other locations,"Promotions, Company Culture, Work Satisfaction",266,720,25,19,17,--
JM Financial Home Loans,4.1,266,NBFC,Mumbai +81 other locations,"Salary, Company Culture, Work Life Balance",266,682,9,1,--,--
Vacmet India,4.1,266,Packaging,Indore +13 other locations,"Job Security, Work Life Balance, Salary",266,1.2k,18,3,29,--
Zeetech Management And Marketing,3.8,266,,,Company Culture,266,48,9,--,19,--
Bombardier Transportation,4.4,265,Urban Transport,Vadodara +11 other locations,"Company Culture, Work Life Balance, Work Satisfaction",265,1k,12,--,43,--
Unitech,3.7,265,Real Estate,Gurugram +29 other locations,"Promotions, Job Security, Salary",265,1.1k,9,17,27,--
Shyam Steel Manufacturing,3.5,265,,,"Promotions, Company Culture, Work Satisfaction",265,915,31,--,6,7
Shriram Value Services,3.9,265,IT Services & Consulting,Chennai +28 other locations,Company Culture,265,541,3,--,35,--
CohnReznick,3.9,266,Accounting & Auditing,Chennai +4 other locations,"Job Security, Work Life Balance, Skill Development",266,1.7k,36,13,13,--
Fresenius Medical Care,3.8,265,Healthcare,Gurugram +32 other locations,Job Security,265,918,17,--,30,--
Novonesis,3.8,265,Biotechnology,Bengaluru +11 other locations,"Work Life Balance, Company Culture, Salary",265,1.3k,17,1,29,--
Tata Boeing Aerospace,3.6,265,Defence & Aerospace,Hyderabad +9 other locations,Job Security,265,1.4k,14,1,23,--
Snowman Logistics,4.1,266,Logistics,Bengaluru +26 other locations,"Job Security, Work Life Balance, Skill Development",266,980,13,4,14,--
Trimble,3.8,265,IT Services & Consulting,Chennai +16 other locations,"Work Life Balance, Company Culture",265,2.3k,34,40,28,12
Pinkerton,3.6,265,Law Enforcement & Security,Gurugram +15 other locations,"Promotions, Salary, Work Satisfaction",265,946,13,17,15,1
Durian Industries,3.7,266,Retail,Mumbai +38 other locations,"Promotions, Skill Development, Work Satisfaction",266,1.1k,23,10,11,--
Corsearch,3.9,265,IT Services & Consulting,Mumbai +5 other locations,"Company Culture, Work Life Balance, Work Satisfaction",265,431,12,3,1,--
Insecticides India,4.0,266,Agro Chemicals,Bharuch +43 other locations,"Work Life Balance, Job Security, Salary",266,1.2k,18,6,21,--
Azad Engineering,3.7,265,Engineering & Construction,Hyderabad +13 other locations,Salary,265,1.2k,18,2,18,1
Wilo Mather and Platt Pumps,3.9,265,Industrial Machinery,Pune +22 other locations,"Work Life Balance, Job Security",265,1.2k,17,5,23,5
GGS Engineering Services,3.2,265,Engineering & Construction,Chennai +8 other locations,"Promotions, Skill Development, Company Culture",265,1.5k,19,13,13,--
Health Total,3.8,264,Fitness & Wellness,Mumbai +12 other locations,Salary,264,560,17,18,27,--
Sparsh Hospital,3.6,264,Healthcare,Bengaluru +28 other locations,"Promotions, Job Security, Salary",264,1.1k,5,62,17,--
The Professional Couriers,3.4,264,Logistics,New Delhi +67 other locations,"Promotions, Salary, Skill Development",264,1.1k,8,13,15,--
Dynamatic Technologies,3.7,264,Auto Components,Bengaluru +11 other locations,Job Security,264,1.4k,15,--,22,--
MEDOPHARM,3.8,264,Pharma,Chennai +19 other locations,"Work Life Balance, Job Security",264,1.1k,17,2,26,--
Globus Infocom,4.2,264,EdTech,Noida +30 other locations,"Salary, Promotions, Company Culture",264,606,38,3,32,1
Birla Open Minds Education Private Limited,3.1,265,Education & Training,Hyderabad +33 other locations,"Job Security, Promotions, Company Culture",265,777,19,2,15,5
Rostfrei Steels,3.8,264,Industrial Machinery,New Delhi +12 other locations,Salary,264,855,36,13,10,1
Mitsubishi Elevators,4.0,264,Industrial Machinery,Bengaluru +24 other locations,"Job Security, Work Life Balance, Company Culture",264,967,8,6,29,--
UNICEF,3.9,264,Non-Profit,New Delhi +59 other locations,"Salary, Work Life Balance, Company Culture",264,741,31,--,26,--
Danieli,3.5,264,Industrial Machinery,Chennai +15 other locations,"Promotions, Company Culture, Work Satisfaction",264,1.2k,15,--,28,2
Perfios Software Solutions,3.5,264,FinTech,Bengaluru +5 other locations,"Promotions, Work Satisfaction, Skill Development",264,2.6k,27,13,13,4
Diffusion Engineers,4.1,264,Industrial Machinery,Nagpur +32 other locations,"Job Security, Company Culture, Work Life Balance",264,668,16,1,114,12
Lloyds Technology Centre,3.5,264,IT Services & Consulting,Hyderabad +8 other locations,Work Life Balance,264,3.4k,56,119,5,1
Sigachi Industries,3.8,264,Pharma,Bharuch +16 other locations,Work Life Balance,264,1.3k,27,--,17,1
Kovai Medical Center and Hospital,4.2,264,Healthcare,Coimbatore +13 other locations,"Company Culture, Job Security, Skill Development",264,976,4,1,15,--
Reliance Fresh,4.3,263,Retail,New Delhi +61 other locations,"Job Security, Company Culture, Work Life Balance",263,539,20,--,32,--
Lafarge,4.6,263,Building Material,Mumbai +73 other locations,"Company Culture, Job Security, Skill Development",263,522,10,--,51,--
Roha Dyechem,3.5,263,Food Processing,Mumbai +10 other locations,"Promotions, Company Culture, Skill Development",263,1.2k,24,--,12,--
Reliance Fresh,4.3,263,Retail,New Delhi +61 other locations,"Job Security, Company Culture, Work Life Balance",263,539,20,--,32,--
Lafarge,4.6,263,Building Material,Mumbai +73 other locations,"Company Culture, Job Security, Skill Development",263,522,10,--,51,--
Indian Railway Catering and Tourism,3.8,263,Travel & Tourism,New Delhi +53 other locations,Work Life Balance,263,937,12,--,24,--
Cochin Shipyard,4.2,263,Ports & Shipping,Kochi +16 other locations,"Work Satisfaction, Skill Development, Company Culture",263,1.1k,12,--,26,--
Appasamy Associates,3.6,263,Medical Equipment,Chennai +40 other locations,"Promotions, Salary, Company Culture",263,1.1k,12,1,15,--
GfK MODE,3.4,263,Analytics & KPO,Gurugram +19 other locations,"Promotions, Skill Development, Salary",263,1.7k,25,--,33,--
Unison Pharmaceuticals,3.9,263,Pharma,Ahmedabad +10 other locations,"Job Security, Salary, Work Life Balance",263,1.3k,21,1,11,--
Kutch Chemical Industries,3.9,263,Chemicals,Gandhidham +15 other locations,"Job Security, Work Life Balance",263,1.1k,21,--,20,2
Tata Sikorsky Aerospace,3.6,264,Defence & Aerospace,Hyderabad +4 other locations,Job Security,264,1.2k,11,--,26,1
JP Infra,3.7,264,Real Estate,Mumbai +10 other locations,"Promotions, Company Culture, Work Satisfaction",264,1.4k,25,25,29,--
Dyson,3.7,263,Consumer Electronics & Appliances,Gurugram +35 other locations,Salary,263,1.2k,21,1,15,--
Searce Cosourcing Services,3.0,263,IT Services & Consulting,Pune +14 other locations,"Promotions, Salary, Work Satisfaction",263,2.2k,37,5,19,--
Rajiv Gandhi Cancer Institute & Research Centre,3.7,263,Healthcare,New Delhi +3 other locations,Job Security,263,946,16,34,19,--
Leap Finance,3.2,263,FinTech,Bengaluru +15 other locations,"Job Security, Promotions, Work Satisfaction",263,1k,77,10,5,1
Ujala Cygnus,3.6,262,Healthcare,New Delhi +28 other locations,"Promotions, Salary, Job Security",262,582,18,--,7,--
Government of Andhra Pradesh,3.7,262,Government,Hyderabad +65 other locations,Job Security,262,1k,10,--,15,--
Rossell Techsys,4.1,262,Defence & Aerospace,Bengaluru +4 other locations,"Job Security, Company Culture, Skill Development",262,1.4k,7,1,16,--
Fingent,3.9,262,Software Product,Kochi +4 other locations,"Company Culture, Work Life Balance, Work Satisfaction",262,983,28,15,104,62
The KCP,4.1,262,Building Material,Chennai +17 other locations,"Job Security, Work Life Balance, Work Satisfaction",262,966,18,11,28,1
Leap Finance,3.2,263,FinTech,Bengaluru +15 other locations,"Job Security, Promotions, Work Satisfaction",263,1k,77,10,5,1
ZIGRAM,3.4,262,Software Product,Gurugram +8 other locations,"Promotions, Salary, Work Life Balance",262,1.1k,63,14,8,11
Supermax Personal Care,3.5,262,Beauty & Personal Care,Mumbai +47 other locations,"Promotions, Job Security, Company Culture",262,953,17,--,20,--
Eaton Power Quality,4.0,262,Electronics Manufacturing,Puducherry +20 other locations,"Company Culture, Skill Development, Work Life Balance",262,1.2k,12,--,23,--
Jeena Sikho Lifecare,3.9,262,Healthcare,Chandigarh +47 other locations,"Work Life Balance, Job Security",262,699,31,21,11,6
O P Jindal Global University,3.7,262,Education & Training,Sonipat +11 other locations,"Job Security, Salary",262,895,21,9,22,--
Calderys India Refractories,4.1,262,Metals & Mining,Nagpur +23 other locations,"Company Culture, Job Security, Work Life Balance",262,1.1k,29,122,13,1
Vialto Partners,2.9,262,Management Consulting,Bengaluru +9 other locations,"Promotions, Work Satisfaction, Salary",262,1.6k,35,10,2,--
Ambica Steels,3.7,262,Metals & Mining,New Delhi +17 other locations,"Promotions, Job Security, Salary",262,892,28,4,15,1
JGC Corporation,4.4,263,Engineering & Construction,Chennai +17 other locations,"Work Life Balance, Job Security, Company Culture",263,598,38,12,16,8
JRG Automotive india,3.2,262,Auto Components,Bawal +15 other locations,"Job Security, Company Culture, Work Life Balance",262,986,15,--,5,--
Sundaram Home Finance,4.2,263,NBFC,Chennai +77 other locations,"Work Life Balance, Company Culture, Job Security",263,750,12,1,15,--
Gatewaypark Business,4.6,261,Software Product,Bengaluru +6 other locations,"Work Life Balance, Company Culture, Work Satisfaction",261,5,19,--,--,--
Gujarat State Fertilizers & Chemicals,4.2,262,Agro Chemicals,Vadodara +26 other locations,"Work Life Balance, Job Security, Company Culture",262,1k,13,--,21,--
Saurav Chemicals,3.7,261,Agro Chemicals,Chandigarh +12 other locations,"Promotions, Skill Development, Work Satisfaction",261,1k,20,11,19,4
Rosenberger Electronic,3.9,261,Electronics Manufacturing,Gurugram +33 other locations,"Work Life Balance, Salary",261,1.2k,13,--,33,--
Liberty Shoes,3.9,261,Fashion & Textile,Karnal +48 other locations,Work Life Balance,261,952,20,2,18,3
MBD GROUP,3.3,261,Printing & Publishing,New Delhi +35 other locations,"Promotions, Skill Development, Salary",261,978,13,--,19,2
LIXIL,3.9,261,Building Material,Gurugram +41 other locations,"Company Culture, Work Life Balance, Job Security",261,1.1k,15,377,17,--
Super Auto Forge,3.9,261,Industrial Machinery,Chennai +9 other locations,"Job Security, Skill Development",261,1.3k,8,1,26,--
Vinove Software & Services,3.4,261,IT Services & Consulting,Noida +5 other locations,"Promotions, Job Security, Salary",261,764,62,82,14,147
Steel Infra Solutions,3.6,263,,,"Company Culture, Promotions, Work Life Balance",263,950,17,5,2,5
AISECT,3.8,261,Education & Training,Bhopal +58 other locations,"Company Culture, Work Life Balance, Skill Development",261,827,9,4,21,1
PMT Machines,3.1,261,Industrial Machinery,Pune +15 other locations,"Company Culture, Promotions, Work Satisfaction",261,1k,25,13,18,--
Apollo 247,3.3,261,Healthcare,Hyderabad +21 other locations,"Promotions, Company Culture, Work Satisfaction",261,1.8k,25,14,10,--
Mamaearth,3.8,261,Beauty & Personal Care,Gurugram +46 other locations,Salary,261,1.3k,29,44,12,--
Battery Smart,3.3,261,Auto Components,Gurugram +31 other locations,"Job Security, Promotions, Company Culture",261,918,19,13,2,1
Birla Tyres,3.7,260,Auto Components,Balasore +57 other locations,"Promotions, Company Culture, Work Life Balance",260,650,7,5,29,--
Hawkins Cookers,3.6,260,Consumer Electronics & Appliances,Mumbai +40 other locations,"Promotions, Company Culture, Work Satisfaction",260,856,23,5,15,3
Latinem,3.7,261,Real Estate,Hyderabad +3 other locations,"Work Life Balance, Salary",261,638,53,20,1,18
SCM Garments,3.6,260,Fashion & Textile,Tiruppur +11 other locations,Job Security,260,1.1k,17,1,28,--
Epigral,4.1,260,Chemicals,Bharuch +5 other locations,"Work Life Balance, Job Security, Company Culture",260,1.4k,23,--,1,--
Sony India Software Centre,3.7,261,Consumer Electronics & Appliances,Bengaluru +8 other locations,"Company Culture, Work Life Balance",261,2.1k,37,7,24,2
iServeU,4.1,261,FinTech,Bhubaneswar +6 other locations,"Skill Development, Work Satisfaction, Job Security",261,1.1k,25,8,5,26
ReachLocal Services,3.6,260,Marketing & Advertising,Mumbai +5 other locations,Work Life Balance,260,1.1k,23,--,21,11
Augmont Goldtech,4.7,260,Financial Services,Mumbai +57 other locations,"Company Culture, Work Life Balance, Work Satisfaction",260,307,95,8,4,10
J. C. Penney,3.8,260,Retail,Bengaluru +8 other locations,"Work Life Balance, Company Culture",260,1.6k,21,32,25,2
