Company Name,Rating,Reviews,Domain,Location,Bad Review,Review Count,Salary Count,Interview Count,Job Count,Benefit Count,Photo Count
JBM Group,3.9,4.9k,Auto Components,Gurugram +119 other locations,"Job Security, Skill Development",4.9k,14.2k,363,59,354,21
Varun Beverages,4.0,4.9k,Beverage,New Delhi +384 other locations,"Job Security, Work Life Balance, Skill Development",4.9k,12.2k,358,74,329,32
Ecom Express,4.1,4.8k,Logistics,Gurugram +780 other locations,"Work Life Balance, Company Culture, Work Satisfaction",4.8k,9.3k,268,--,325,39
Utkarsh Small Finance Bank,3.6,4.8k,Banking,Varanasi +423 other locations,"Promotions, Company Culture, Work Satisfaction",4.8k,11.5k,322,67,291,53
Nagarro,3.9,4.8k,IT Services & Consulting,Gurugram +48 other locations,"Company Culture, Work Life Balance",4.8k,33.7k,842,275,1.2k,19
Eviden,3.6,4.8k,IT Services & Consulting,Pune +39 other locations,Work Life Balance,4.8k,26.8k,316,--,3,11
Randstad,3.7,4.7k,Recruitment,Hyderabad +370 other locations,"Promotions, Job Security, Work Satisfaction",4.7k,17.3k,342,241,355,7
EY Global Delivery Services ( EY GDS),3.5,4.7k,IT Services & Consulting,Bengaluru +57 other locations,Job Security,4.7k,53.5k,911,6,278,17
Bosch,4.1,4.7k,Auto Components,Bengaluru +133 other locations,"Work Life Balance, Company Culture, Skill Development",4.7k,21.3k,388,--,607,18
Havells,3.9,4.7k,Electrical Equipment,Noida +266 other locations,"Work Life Balance, Salary",4.7k,15.8k,304,36,327,13
L&T Finance,3.9,4.7k,NBFC,Mumbai +657 other locations,Salary,4.7k,12.4k,230,--,267,34
Hewlett Packard Enterprise,4.0,4.7k,IT Services & Consulting,Bengaluru +104 other locations,"Company Culture, Work Life Balance, Work Satisfaction",4.7k,27.7k,270,226,552,18
Intas Pharmaceuticals,4.1,4.7k,Pharma,Ahmedabad +150 other locations,"Job Security, Salary, Work Life Balance",4.7k,18k,269,75,383,9
Aditya Birla Fashion and Retail,4.0,4.6k,Fashion & Textile,Bengaluru +293 other locations,"Job Security, Skill Development, Company Culture",4.6k,13.2k,273,66,396,14
Cars24,3.4,4.6k,Internet,Gurugram +172 other locations,"Job Security, Promotions, Company Culture",4.6k,15.9k,416,105,418,18
R1 RCM,3.8,4.6k,BPO,Hyderabad +49 other locations,Job Security,4.6k,22.8k,369,180,349,23
Hetero,3.9,4.6k,Pharma,Hyderabad +71 other locations,"Job Security, Work Life Balance",4.6k,15.4k,384,90,358,15
Tata AIA Life Insurance,3.9,4.6k,Insurance,Mumbai +455 other locations,"Job Security, Skill Development, Salary",4.6k,14.4k,265,866,312,23
Mahindra Logistics,3.7,4.6k,Logistics,Mumbai +233 other locations,"Promotions, Salary",4.6k,12.9k,254,126,453,24
Home Credit Finance,4.0,4.6k,NBFC,Gurugram +139 other locations,"Work Life Balance, Company Culture, Skill Development",4.6k,9.2k,153,117,634,6
Dell,3.8,4.6k,Consumer Electronics & Appliances,Bengaluru +117 other locations,"Work Life Balance, Company Culture",4.6k,29.5k,435,28,550,25
Berger Paints,3.7,4.5k,Chemicals,Kolkata +371 other locations,"Promotions, Company Culture, Work Life Balance",4.5k,10.6k,452,182,286,6
Deutsche Bank,3.8,4.5k,Banking,Pune +42 other locations,"Work Life Balance, Job Security, Company Culture",4.5k,38.5k,433,304,416,81
Lenskart,3.3,4.5k,Internet,New Delhi +253 other locations,"Promotions, Company Culture, Work Satisfaction",4.5k,13.6k,481,187,222,24
OPPO,3.9,4.5k,Consumer Electronics & Appliances,Greater Noida +411 other locations,Skill Development,4.5k,11.8k,260,7,609,10
Hyundai Motor India Limited,4.1,4.5k,Automobile,Chennai +293 other locations,"Job Security, Salary, Company Culture",4.5k,14.4k,332,9,529,31
Motilal Oswal Financial Services,3.7,4.5k,Financial Services,Mumbai +170 other locations,Skill Development,4.5k,13.4k,557,53,175,90
TeamLease Services,3.9,4.4k,Recruitment,Bengaluru +405 other locations,Work Life Balance,4.4k,16.6k,258,--,231,6
VE Commercial Vehicles,3.9,4.4k,Automobile,Indore +181 other locations,"Job Security, Company Culture, Skill Development",4.4k,14.5k,296,26,354,13
